インフルエンザの大流行,0,7
新型ウイルス発生,0,18
ワクチン開発成功,14,0
治療薬の副作用発覚,0,12
感染者数の減少傾向,6,0
隣国で感染症が流行,0,4
感染症でイベント中止多数,0,9
感染症に強い国との評価,8,0
マスク供給ひっ迫,0,6
防疫関連株が暴騰,11,0
首都直下型地震発生,0,25
台風による都市機能停止,0,13
津波で港湾施設損傷,0,10
異常猛暑で電力ひっ迫,0,6
冬の大寒波で物流停止,0,7
洪水による農業被害,0,4
火山噴火で空港閉鎖,0,6
広域山火事,0,5
災害復興のための公共投資,12,0
復旧完了の報道,8,0
金利引き下げ発表,9,0
消費税引き上げ決定,0,12
経済対策パッケージ発表,11,0
規制強化,0,8
株式課税強化,0,7
インフラ投資推進,9,0
予算成立遅延,0,6
年金積立金での株式買い入れ,8,0
地方創生特区指定,4,0
金融緩和継続,9,0
米中貿易摩擦激化,0,11
世界的パンデミック宣言,0,25
中東での戦争勃発,0,16
国際首脳会議で経済協調合意,10,0
世界的な利下げ傾向,8,0
円高進行,0,7
海外大手企業破綻,0,13
ノーベル賞で日本人科学者受賞,7,0
EV投資拡大,9,0
オリンピック中止,0,14
AI技術の実用化,13,0
宇宙ベンチャー成功,9,0
ゲノム編集治療成功,10,0
再エネ政策強化,9,0
国内EV市場拡大,8,0
新薬承認・販売,9,0
半導体需要増加,13,0
スマホ新型爆売れ,8,0
大型プロジェクト始動,10,0
投資家の注目テーマ外れ,0,5
